Gene_Name,Gene_symbol,Human_entrez,Rat_entrez,Mouse_entrez,Synonym,DbTF,PMID,Uniprot_Human,Uniprot_Rat,Uniprot_mouse
HOXD1,homeobox D1,3231,288151,15429,HOX4|HOX4G|HOX-4.7,yes,11775067,Q9GZZ0,D4ACE4,Q0VBQ9
HOXD10,homeobox D10,3236,303991,15430,HOX4|HOX4D|HOX4E|HOX-4.4,yes,"11432851, 15792957",P28358,D4ACD8,"P28359,A2ASM8"
HOXD11,homeobox D11,3237,0,15431,HOX4|HOX4F,yes,1756725,P31277,,"P23813,A2ASM7"
HOXD13,homeobox D13,3239,288154,15433,BDE|BDSD|HOX4I|SPD,yes,16314414,P35453,,P70217
HOXD3,homeobox D3,3232,288152,15434,HOX1D|HOX4|HOX4A|HOX-4.1,yes,14610084,P31249,D3Z957,"P09027,Q3UZR4"
HOXD4,homeobox D4,3233,288153,15436,HHO.C13|HOX-5.1|HOX4|HOX4B|HOX-4.2,yes,1756725,P09016,D4ACE1,P10628
HOXD8,homeobox D8,3234,0,15437,HOX4|HOX4E|HOX5.4,yes,7926763,"P13378,F8WBG7",,P23463
HOXD9,homeobox D9,3235,688999,15438,HOX4|HOX4C|HOX-4.3|HOX-5.2,yes,8890171,P28356,B5DFK3,P28357
HR,hair growth associated,55806,60563,15460,ALUNC|AU|HSA277165|MUHH|MUHH1,yes,9445480,O43593,"G3V7J4,P97609",Q61645
HSF1,heat shock transcription factor 1,3297,79245,15499,HSTF1,yes,9545528,Q00613,F1MAF1,P38532
HSF2,heat shock transcription factor 2,3298,64441,15500,HSF 2|HSTF 2,yes,14699143,"Q9BS48,Q03933",Q9R120,"P38533,Q8BWK6"
HSF4,heat shock transcription factor 4,3299,291960,26386,CTM,yes,"8972228, 11278480",Q9ULV5,D4A5A8,"Q9R0L1,B2RQY2,Q3UG93"
HTATIP2,"HIV-1 Tat interactive protein 2, 30kDa",10553,292935,53415,CC3|SDR44U1|TIP30,yes,9445480,Q9BUP3,B0BNF8,"Q3U816,Q9Z2G9"
IER2,immediate early response 2,9592,494344,15936,ETR101,yes,19584537,Q9BTL4,Q6P7D3,P17950
IFI16,"interferon, gamma-inducible protein 16",3428,0,15951,IFNGIP1|PYHIN2,yes,19170058,"H3BLV7,Q16666,B4DJT8",,"Q08619,P15092,E9QKL6"
IGHMBP2,immunoglobulin mu binding protein 2,3508,29532,20589,CATF1|HCSA|HMN6|SMARD1|SMUBP2|ZFAND7,yes,15358184,P38935,Q9EQN5,
IKZF1,IKAROS family zinc finger 1 (Ikaros),10320,305501,22778,HS.54452|IK1|IKAROS|LYF1|PRO0758|ZNFN1A1|HIK-1,yes,15841184,Q13422,D4A9W4,"Q5SWU0,G5E8H3,Q8C9X3,Q8C5P6"
IKZF2,IKAROS family zinc finger 2 (Helios),22807,301476,22779,ANF1A2|HELIOS|ZNF1A2|ZNFN1A2,yes,20226531,Q9UKS7,D4A7Y7,P81183
IKZF3,IKAROS family zinc finger 3 (Aiolos),22806,303511,22780,AIO|AIOLOS|ZNFN1A3,yes,10369681,Q9UKT9,D3ZSW3,O08900
IKZF5,IKAROS family zinc finger 5 (Pegasus),64376,309031,67143,PEGASUS|ZNFN1A5,yes,10978333,Q9H5V7,D3ZBK4,Q8BU00
INSM1,insulinoma-associated 1,3642,366210,53626,IA-1|IA1,yes,18417529,Q01101,,"Q63ZV0,Q05BD7"
IRF1,interferon regulatory factor 1,3659,24508,16362,IRF-1|MAR,yes,12517966,"Q6FHN8,P10914",P23570,"Q3U5M1,P15314,Q5SX13"
IRF2,interferon regulatory factor 2,3660,290749,16363,IRF-2,yes,8798551,P14316,Q0PXQ8,"P23906,Q3U2Z2"
IRF3,interferon regulatory factor 3,3661,292892,54131,-,yes,9660935,"Q7Z5G6,E2GIM5,E2GIM9,E2GIM8,Q14653,E2GIM6,E2GIM7,Q5FBY2",Q5XIB0,"Q3U9K6,P70671"
IRF4,interferon regulatory factor 4,3662,291100,16364,LSIRF|MUM1|NF-EM5,yes,15242870,Q15306,D3ZEX6,"Q64287,Q5SUZ4"
IRF5,interferon regulatory factor 5,3663,296953,27056,SLEB10,yes,12600985,"Q64GA9,E7EW54,Q13568",D3ZPU1,"P56477,Q3U169"
IRF6,interferon regulatory factor 6,3664,364081,54139,LPS|OFC6|PIT|PPS|VWS|VWS1,yes,21807998,"G0Z349,F5GWX8,O14896,B4DLE2",D4AAV0,P97431
IRF7,interferon regulatory factor 7,3665,293624,54123,IRF-7H|IRF7A,yes,9786932,Q92985,Q3SWU2,"Q3TW14,D3Z4U9,P70434,Q542T3"
IRF8,interferon regulatory factor 8,3394,292060,15900,H-ICSBP|ICSBP|ICSBP1|IRF-8,yes,"1460054, 10734131",Q02556,Q5NUI4,"Q544J7,P23611"
IRF9,interferon regulatory factor 9,10379,305896,16391,IRF-9|ISGF3|ISGF3G|P48,yes,20083668,Q00978,Q68FP4,"Q3UKQ7,Q61179,E9Q8M6,E9PZJ2"
IRX1,iroquois homeobox 1,79192,306659,16371,IRX-5|IRXA1,yes,20440264,P78414,D4A9L1,P81068
IRX2,iroquois homeobox 2,153572,306657,16372,IRXA2,yes,15133517,Q9BZI1,D3ZGA0,P81066
IRX3,iroquois homeobox 3,79191,307721,16373,IRX-1|IRXB1,yes,16203991,P78415,,P81067
IRX5,iroquois homeobox 5,10265,498918,54352,HMMS|IRX-2A|IRXB2,yes,16239150,P78411,Q45V74,Q9JKQ4
IRX6,iroquois homeobox 6,79190,307715,64379,IRX-3|IRX7|IRXB3,yes,19152797,P78412,D4A7R4,Q8BFT1
ISL1,ISL LIM homeobox 1,3670,64444,16392,ISLET1|ISL-1,yes,15253934,P61371,P61374,"Q8BTH7,P61372,A2RSV5"
ISL2,ISL LIM homeobox 2,64843,57233,104360,-,yes,17091338,Q96A47,P50480,"Q9CXV0,Q0VAX2"
JARID2,"jumonji, AT rich interactive domain 2",3720,0,16468,JMJ,yes,15542826,"B7Z8L0,Q92833",,Q62315
JDP2,Jun dimerization protein 2,122953,116674,81703,JUNDM2,yes,12052888,"J3KN58,Q8WYK2",Q78E65,P97875
JUN,jun proto-oncogene,3725,24516,16476,AP-1|AP1|C-JUN,yes,"12215258, 15494506",P05412,P17325,"P05627,Q52L79"
JUNB,jun B proto-oncogene,3726,24517,16477,AP-1,yes,12121977,"P17275,Q5U079",P24898,"Q569U6,P09450"
JUND,jun D proto-oncogene,3727,24518,16478,AP-1,yes,2504580,P17535,P52909,P15066
KCNH8,"potassium voltage-gated channel, subfamily H (eag-related), member 8",131096,246325,211468,ELK|ELK1|KV12.1|ELK3,yes,12740370,Q96L42,Q9QWS8,"P59111,F6TUN6"
KCNIP3,"Kv channel interacting protein 3, calsenilin",30818,65199,56461,CSEN|DREAM|KCHIP3,yes,10078534,Q9Y2W7,Q9JM47,"Q3YAA9,Q9QXT8,Q3YAB0"
KHSRP,KH-type splicing regulatory protein,8570,171137,16549,FBP2|FUBP2|KSRP,yes,19087307,Q92945,Q99PF5,Q3U0V1
KLF1,Kruppel-like factor 1 (erythroid),10661,304666,16596,EKLF|HBFQTL6|INLU,yes,11092887,Q13351,G3V6F3,E9QNP6
KLF10,Kruppel-like factor 10,7071,81813,21847,EGRA|TIEG|TIEG1,yes,15087465,Q13118,O08876,O89091
KLF11,Kruppel-like factor 11,8462,313994,194655,FKLF|FKLF1|MODY7|TIEG2|TIEG3,yes,15024015,"O14901,B7ZAX4,Q53QU8",Q309C9,Q8K1S5
KLF12,Kruppel-like factor 12,11278,306110,16597,AP-2REP|AP2REP,yes,9858544,"Q8WWI3,Q9Y4X4",D3ZG44,O35738
KLF13,Kruppel-like factor 13,51621,499171,50794,BTEB3|FKLF2|NSLP1|RFLAT-1|RFLAT1,yes,10642511,Q9Y2Y9,D3ZVI8,Q9JJZ6
KLF14,Kruppel-like factor 14,136259,312203,619665,BTEB5,yes,19088080,"A4D1N0,Q8TD94",D3ZVG6,Q19A41
KLF15,Kruppel-like factor 15,28999,85497,66277,KKLF,yes,20141633,Q9UIH9,Q9WTQ3,Q9EPW2
KLF16,Kruppel-like factor 16,83855,690820,118445,BTEB4|DRRF|NSLP2,yes,12036432,Q9BXK1,B2GUY9,"B2RPU7,P58334"
KLF17,Kruppel-like factor 17,128209,298449,75753,ZNF393|ZFP393,yes,16460907,Q5JT82,D4ADI3,Q8CFA7
KLF2,Kruppel-like factor 2 (lung),10365,306330,16598,LKLF,yes,21530336,"Q9Y5W3,Q8IUN4",Q9ET58,"Q60843,Q3V293"
KLF3,Kruppel-like factor 3 (basic),51274,114845,16599,BKLF,yes,10582345,P57682,D4A4V3,"Q60980,Q545J5"
KLF4,Kruppel-like factor 4 (gut),9314,114505,16600,EZF|GKLF,yes,"9443972, 9553140, 10556311",O43474,Q923V7,"Q60793,F2YID5"
KLF5,Kruppel-like factor 5 (intestinal),688,84410,12224,BTEB2|CKLF|IKLF,yes,16595680,"Q5T6X2,Q13887","Q66HP1,F1LSL7",Q9Z0Z7
KLF6,Kruppel-like factor 6,1316,58954,23849,BCD1|CBA1|COPEB|CPBP|GBF|PAC1|ST12|ZF9,yes,18521079,"F5H3M5,Q99612,D3GC14",G3V880,Q8BPQ2
KLF7,Kruppel-like factor 7 (ubiquitous),8609,363243,93691,UKLF,yes,9774444,"Q7Z3H8,B7Z4F7,O75840,Q96E51",,Q99JB0
KLF8,Kruppel-like factor 8,11279,302582,245671,BKLF3|ZNF741,yes,10756197,"B4DJN3,O95600,E7EQQ8",D3ZGU0,"Q8BLM0,A6PWN2"
KLF9,Kruppel-like factor 9,687,117560,16601,BTEB|BTEB1,yes,9858544,Q13886,Q01713,Q8CEC4
KMT2A,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)",4297,315606,214162,ALL-1|CXXC7|HRX|HTRX1|KMT2A|MLL/GAS7|MLL1A|TET1-MLL|TRX1|WDSTS|MLL,yes,12453418,"Q03164,E9PQG7",,P55200
LBX1,ladybird homeobox 1,10660,499362,16814,HPX-6|HPX6|LBX1H|HOMEOBOX,yes,19651985,P52954,Q1XID0,P52955
LCORL,ligand dependent nuclear receptor corepressor-like,254251,498385,209707,MLR1,yes,12560079,Q8N3X6,,Q3U285
LEF1,lymphoid enhancer-binding factor 1,51176,161452,16842,LEF-1|TCF10|TCF1ALPHA|TCF7L3,yes,18579517,"B7Z8E2,E9PDK3,Q9UJU2,Q659G9",Q9QXN1,"Q3TYB0,P27782"
LHX1,LIM homeobox 1,3975,257634,16869,LIM-1|LIM1,yes,10652534,"Q58F18,P48742",P63007,"Q569N5,P63006"
LHX2,LIM homeobox 2,9355,296706,16870,LH2|HLHX2,yes,7513049,"P50458,B3KNJ5",D4A380,"Q543C6,Q9Z0S2"
LHX3,LIM homeobox 3,8022,170671,16871,CPHD3|LIM3|M2-LHX3,yes,15271874,"F1T0D5,Q9UBR4,F1T0D9","G3V8E3,G3V9E7","Q8C8F2,P50481,A2ALD8"
LHX4,LIM homeobox 4,89884,360858,16872,CPHD4,yes,15998782,Q969G2,,P53776
LHX6,LIM homeobox 6,26468,311901,16874,LHX6.1,yes,19591819,"H0YN76,Q9UPM6",,"A2AL42,Q9R1R0,E9QN32,H9H9T0"
LHX9,LIM homeobox 9,56956,289048,16876,-,yes,15585134,Q9NQ69,Q80W90,Q9WUH2
LITAF,lipopolysaccharide-induced TNF factor,9516,65161,56722,PIG7|SIMPLE|TP53I7,yes,12655064,"G5E9K0,Q99732","B2RYP2,P0C0T0",Q9JLJ0
LMO2,LIM domain only 2 (rhombotin-like 1),4005,362176,16909,RBTN2|RBTNL1|RHOM2|TTG2,yes,16314316,P25791,"F1LNA1,Q3KRD2","A2BHP3,A2BHP5,P25801,Q544Z2"
LMX1A,"LIM homeobox transcription factor 1, alpha",4009,289201,110648,LMX1|LMX1.1,yes,9315627,Q8TE12,F1LRJ8,"Q9JKU8,Q543W2"
LMX1B,"LIM homeobox transcription factor 1, beta",4010,114501,16917,LMX1.2|NPS1,yes,11956245,"B7ZLH2,Q6ISE0,O60663,F8VYP0,F8W7W6",,O88609
LRRFIP1,leucine rich repeat (in FLII) interacting protein 1,9208,367314,16978,FLAP-1|FLAP1|FLIIAP1|GCF-2|GCF2|HUFI-1|TRIP,yes,14522076,"Q32MZ4,E9PGZ2,Q9Y607,B4DPC0",Q66HF9,"G5E8E1,Q3UZ39,A6H5U5,Q8BLV4"
LZTFL1,leucine zipper transcription factor-like 1,54585,316102,93730,-,yes,22093827,Q9NQ48,Q562C6,Q9JHQ5
MACC1,metastasis associated in colon cancer 1,346389,314539,238455,7A5|SH3BP4L,yes,19098908,Q6ZN28,,E9PXX8
MAF,v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian),4094,54267,17132,CCA4|C-MAF,yes,17897790,O75444,P54844,P54843
MAFA,v-maf musculoaponeurotic fibrosarcoma oncogene homolog A (avian),389692,366949,378435,RIPE3B1|HMAFA,yes,15665000,Q8NHW3,D3ZNT6,Q8CF90
MAFB,v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian),9935,54264,16658,KRML|MCTO,yes,9144291,Q9Y5Q3,P54842,P54841
MAFF,v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian),23764,366960,17133,U-MAF|HMAFF,yes,"8107826, 12490281",Q9ULX9,D3ZC87,"Q3U0G5,O54791"
MAFG,v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian),4097,64188,17134,HMAF,yes,15574414,O15525,Q76MX4,"O54790,A2ABY9"
MAFK,v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian),7975,246760,17135,NFE2U|P18,yes,"11013233, 14960151","A4D214,O60675",Q6IRI7,"Q61827,Q3UP84"
MAX,MYC associated factor X,4149,60661,17187,BHLHD4,yes,8265351,"A6NH73,P61244",P52164,"Q8C4Y1,B2RS19"
MAZ,MYC-associated zinc finger protein (purine-binding transcription factor),4150,691842,17188,PUR1|PUR-1|SAF-1|SAF-2|SAF-3|ZF87|ZNF801|ZIF87,yes,15094381,"G5E927,P56270,Q8NFN7,Q8IUI2",A8QJL8,F8VPK3
MECOM,MDS1 and EVI1 complex locus,2122,294924,14013,AML1-EVI-1|EVI1|MDS1|MDS1-EVI1|PRDM3,yes,15889140,"C7FEN9,Q03112,Q13465",D3ZM26,"G3UZ13,Q9Z1L8"
MED1,mediator complex subunit 1,5469,497991,19014,CRSP1|CRSP200|DRIP205|DRIP230|PBP|PPARBP|PPARGBP|RB18A|TRAP220|TRIP2,yes,16723356,Q15648,D3ZRN2,Q925J9
MEF2A,myocyte enhancer factor 2A,4205,309957,17258,ADCAD1|RSRFC4|RSRFC9|MEF2,yes,10024301,"Q7Z6C9,Q02078,F6XG23",Q2MJT0,Q60929
MEF2B,myocyte enhancer factor 2B,100271849,498607,17259,RSRFR2,yes,9430690,Q02080,Q6AXR7,"Q80VR4,G5E8P6"
MEF2BNB-MEF2B,MEF2BNB-MEF2B readthrough,4207,0,0,LOC729991-MEF2B|MEF2B,yes,8668199,Q02080,,
MEF2C,myocyte enhancer factor 2C,4208,499497,17260,C5DELQ14.3|DEL5Q14.3,yes,11714687,"C9JMZ0,D8L7E9,Q06413,F8W7V7",,"Q3V1B5,Q8CFN5"
MEF2D,myocyte enhancer factor 2D,4209,81518,17261,-,yes,"7760790, 8269842",Q14814,O89038,Q921S6
MEIS1,Meis homeobox 1,4211,686117,17268,-,yes,19799567,O00470,B1WC31,Q60954
MEIS2,Meis homeobox 2,4212,311311,17536,HST18361|MRG1,yes,10764806,"O14770,B7Z6F6,B3KPD8",,"Q3UJ35,P97367,B1AWK6,Q6GU28,B1AWK4,Q3TYM2,B1AWK1"
MEIS3,Meis homeobox 3,56917,361514,17537,MRG2,yes,21059917,Q99687,D4A9U2,P97368
MEOX1,mesenchyme homeobox 1,4222,363684,17285,MOX1,yes,15024065,"P50221,A8MWF9",D4A532,"P32442,Q543E8"
MEOX2,mesenchyme homeobox 2,4223,29279,17286,GAX|MOX2,yes,17074759,P50222,P39020,P32443
MESP1,mesoderm posterior 1 homolog (mouse),55897,308766,17292,BHLHC5,yes,18297060,Q9BRJ9,D3ZUG3,P97309
MESP2,mesoderm posterior 2 homolog (mouse),145873,293046,17293,SCDO2|BHLHC6,yes,16728472,Q0VG99,D3ZXB3,"A6H5V4,O08574"
MGA,"MGA, MAX dimerization protein",23269,499874,29808,MAD5|MXD5,yes,10601024,"E7ENI0,F5H7K2,B9EGR5,Q8IWI9",,"A2AWL7,H7BX50,E9QLG3"
MITF,microphthalmia-associated transcription factor,4286,25094,17342,CMM8|MI|WS2|WS2A|BHLHE32,yes,"14737107, 15716956","Q8WYR3,B4DJL2,B4DNC7,D3K197,O75030,E9PFN0",,"Q3U2D2,Q08874,E9QL92,Q8C6Y4,Q32MU7"
MIXL1,Mix paired-like homeobox,83881,289311,27217,MILD1|MIX|MIXL,yes,12117810,Q9H2W2,D4A558,Q9WUI0
MKX,mohawk homeobox,283078,291228,210719,C10ORF48|IFRX|IRXL1,yes,19235719,Q8IYA7,D3ZUL2,"Q8BIA3,B2RQ30"
MLX,"MLX, MAX dimerization protein",6945,360631,21428,MAD7|MXD7|TCFL4|BHLHD13,yes,"10918583, 14742444",Q9UH92,A2VCV8,"A2BFB0,A2BFB1,O08609,Q3UQB4,A2BFB2"
MLXIP,MLX interacting protein,22877,304479,208104,MIR|MONDOA|BHLHE36,yes,11073985,Q9HAP2,,"B2RQ56,G5E8D8,Q2VPU4"
MLXIPL,MLX interacting protein-like,51085,171078,58805,CHREBP|MIO|MONDOB|WBSCR14|WS-BHLH|BHLHD14,yes,14742444,Q9NP71,Q8VIP2,Q99MZ3
MN1,meningioma (disrupted in balanced translocation) 1,4330,498194,433938,MGCR|MGCR1|MGCR1-PEN|DJ353E16.2,yes,18948418,Q10571,D4AAP6,D3YWE6
MNT,"MNT, MAX dimerization protein",4335,287521,17428,MAD6|MXD6|ROX|BHLHD3,yes,9184233,Q99583,,O08789
MSC,musculin,9242,312897,17681,ABF-1|ABF1|MYOR|BHLHA22,yes,9892671,O60682,D3ZWP1,O88940
MSGN1,mesogenin 1,343930,689864,56184,MSOG,yes,21750544,A6NI15,D3ZVR2,Q9JK54
MSX1,msh homeobox 1,4487,81710,17701,HOX7|HYD1|STHAG1,yes,16600910,P28360,Q9QUG0,P13297
MSX2,msh homeobox 2,4488,25483,17702,CRS2|FPP|HOX8|MSH|PFM|PFM1,yes,17068080,P35548,G3V8D1,"Q03358,Q3UZH5"
MTF1,metal-regulatory transcription factor 1,4520,362591,17764,MTF-1|ZRF,yes,"7610056, 16221973",Q14872,D3ZBT4,"Q8BSY2,Q07243"
MTF2,metal response element binding transcription factor 2,22823,360905,17765,M96|PCL2|RP5-976O13.1|DJ976O13.2,yes,7772254,"B4DZ69,Q9Y483,Q96G26,B4DZG1,Q7Z534","Q566Q3,F1LMD5,B1H2A5",Q02395
MXD1,MAX dimerization protein 1,4084,362391,17119,BHLHC58|MAD|MAD1,yes,12553908,"Q05195,B7ZLI7",F1LRY0,Q8K1Z8
MXD3,MAX dimerization protein 3,83463,252915,17121,BHLHC13|MAD3|MYX,yes,8521822,Q9BW11,Q62912,Q80US8
MXD4,MAX dimerization protein 4,10608,360961,17122,MAD4|MST149|MSTP149|BHLHC12,yes,8521822,Q14582,,Q91VN7
MXI1,"MAX interactor 1, dimerization protein",4601,25701,17859,MAD2|MXD2|MXI|BHLHC11,yes,"8425219, 15467743, 15467743",P50539,Q642D1,"Q3USD3,P50540,Q3U3X2,Q6P2L3"
MYB,v-myb myeloblastosis viral oncogene homolog (avian),4602,293405,17863,CMYB|C-MYB|C-MYB_CDS|EFG,yes,12244173,"E9PNA4,E9PRS2,Q708E9,E9PNL6,E9PI07,E9PLZ5,P10242,Q14025",,"Q3UUX5,P06876"
MYBL1,v-myb myeloblastosis viral oncogene homolog (avian)-like 1,4603,297783,17864,A-MYB|AMYB,yes,7987850,P10243,D3ZF01,"P51960,Q3ZB50"
MYBL2,v-myb myeloblastosis viral oncogene homolog (avian)-like 2,4605,296344,17865,B-MYB|BMYB,yes,10770937,P10244,,"P48972,A2A5P2"
MYC,v-myc myelocytomatosis viral oncogene homolog (avian),4609,24577,17869,MRTL|BHLHE39|C-MYC,yes,16287840,P01106,P09416,"B2RSN1,P01108"
MYCL1,"v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)",4610,298506,16918,LMYC|MYCL|BHLHE38,yes,12782599,"P12524,B4DJH2",G3V7T4,"P10166,Q3UIE0"
MYCN,"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)",4613,298894,18109,MODED|N-MYC|NMYC|ODED|BHLHE37,yes,17124508,"Q53XS5,P04198",Q63379,"Q3UII1,P03966"
MYEF2,myelin expression factor 2,50804,679712,17876,HST18564|MEF-2|MST156|MSTP156,yes,"7534248, 7539003",Q9P2K5,D4AEI5,"A2ATP5,Q8C854,A7UQY4"
MYF5,myogenic factor 5,4617,299766,17877,BHLHC2,yes,19192046,P13349,D3ZVU3,"P24699,A2RSK4"
MYF6,myogenic factor 6 (herculin),4618,25714,17878,CNM3|MRF4|BHLHC4|MYF-6,yes,"1317551, 11076940",P23409,P19335,"P15375,Q0VEJ7"
MYNF1,myeloid nuclear factor 1,0,0,104338,CBF|PEPB2,yes,"8035830, 8035830, 8384306",,,
MYOCD,myocardin,93649,246297,214384,MYCD,yes,22157009,"Q6N065,Q8IZQ8",Q8R5I7,Q8VIM5
MYOD1,myogenic differentiation 1,4654,337868,17927,MYF3|MYOD|PUM|BHLHC1,yes,12242286,P15172,Q02346,P10085
MYOG,myogenin (myogenic factor 4),4656,29148,17928,MYF4|BHLHC3|MYF-4,yes,17531403,P15173,"P20428,O70425",P12979
MYPOP,"Myb-related transcription factor, partner of profilin",339344,499090,232934,P42POP,yes,15615774,Q86VE0,D4AB13,Q8R4U1
MYRF,myelin regulatory factor,745,293736,225908,C11ORF9|MRF|NDT80|PQN-47,yes,19596243,Q9Y2G1,,
MYT1,myelin transcription factor 1,4661,362291,17932,C20ORF36|MTF1|MYTI|PLPB1,yes,8980226,"Q7Z5W2,Q01538",D3ZYT5,"B0R0C1,Q8CFC2"
MYT1L,myelin transcription factor 1-like,23040,116668,17933,NZF1,yes,8631881,"Q49A74,Q9UL68",P70475,"Q0VGN2,D3Z1P7,E9QLD2"
MZF1,myeloid zinc finger 1,7593,361508,109889,MZF-1|MZF1B|ZFP98|ZNF42|ZSCAN6,yes,7579328,"Q7Z729,P28698",D3ZF35,A1L358
NACC1,"nucleus accumbens associated 1, BEN and BTB (POZ) domain containing",112939,171454,66830,BEND8|BTBD14B|NAC-1|NAC1,yes,10934270,Q96RE7,O35260,Q7TSZ8
NACC2,"NACC family member 2, BEN and BTB (POZ) domain containing",138151,296583,67991,BEND9|BTBD14|BTBD14A,yes,22926524,Q96BF6,"Q562B4,G3V8D3","Q9DCM7,A2ARL2"
NANOG,Nanog homeobox,79923,414065,71950,-,yes,16714766,Q9H9S0,D3ZS29,"Q80Z64,A2RS90"
NANOGP8,Nanog homeobox pseudogene 8,388112,0,0,NANOG|NANOGP1|PN8,yes,16153702,,,
NEUROD1,neuronal differentiation 1,4760,29458,18012,BETA2|BHF-1|MODY6|NEUROD|BHLHA3,yes,15993959,Q13562,Q64289,"Q60867,B1AYM8"
NEUROD2,neuronal differentiation 2,4761,54276,18013,NDRF|BHLHA1,yes,"8816493, 10098882",Q15784,Q63689,"Q3TYB2,Q62414"
NEUROD4,neuronal differentiation 4,58158,288821,11923,ATH-3|ATH3|ATOH3|MATH-3|BHLHA4,yes,12947105,"Q8IW56,Q9HD90",,"Q545C0,O09105"
NEUROD6,neuronal differentiation 6,63974,500137,11922,ATOH2|MATH2|MATH-2|NEX1M|NEX1|BHLHA2,yes,12562512,Q96NK8,B5DEY7,"P48986,Q5M8T7,Q3UN97"
NEUROG1,neurogenin 1,4762,29410,18014,AKA|MATH4C|NEUROD3|BHLHA6|NGN1,yes,10814830,"F1T0H3,Q92886",P70595,P70660
NEUROG2,neurogenin 2,63973,295475,11924,ATOH4|MATH4A|NGN2|BHLHA8|NGN-2,yes,15342472,Q9H2A3,D4A2E3,"Q6GTH9,P70447"
NEUROG3,neurogenin 3,50674,60329,11925,ATOH5|MATH4B|NGN-3|BHLHA7|NGN3,yes,"10757813, 14576336, 16511571",Q9Y4Z2,O08718,"P70661,Q548G3"
NFAT5,"nuclear factor of activated T-cells 5, tonicity-responsive",10725,307820,54446,NF-AT5|NFATL1|NFATZ|OREBP|TONEBP,yes,11780147,"Q7LA65,E9PHR7,Q96QH3,O94916",D3ZGB1,"G5E8N9,Q91WY0,E9Q0P3,Q9JLA1"
NFATC1,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1",4772,100361818,18018,NF-ATC|NFAT2|NFATC,yes,16109714,"B5B2M8,Q2M1S3,B5B2M9,O95644,B5B2M5",,"B5B2N7,Q9DBQ6,B5B2N2,B5B2N5,B5B2N4,Q6P7T9"
NFATC2,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2",4773,311658,18019,NFAT1|NFATP,yes,"8313907, 8397339, 10692237, 12453415, 14688323","B5B2P4,B5B2P2,B5B2P0,Q13469,B5B2P3",D4A0I8,"Q6P3F6,Q8CBG5,Q60591,Q8C443,B5B2R5,B5B2P7"
NFATC3,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3",4775,361400,18021,NFAT4|NFATX,yes,"7650004, 7650004, 15173172","Q12968,B5B2S0,B5B2S1",D3ZU59,Q3UZ64
NFATC4,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4",4776,305897,73181,NF-ATC4|NFAT3,yes,"11997522, 16644691",Q14934,D3Z9H7,Q8K120
NFE2,"nuclear factor (erythroid-derived 2), 45kDa",4778,366998,18022,NF-E2|P45,yes,8469283,"Q16621,A8K3E0",Q6AYT2,Q07279
NFE2L1,nuclear factor (erythroid-derived 2)-like 1,4779,360610,18023,LCR-F1|NRF1|TCF11,yes,8036168,"Q14494,Q8NF22",D4A349,"Q3UFI8,Q6GTN8,E9Q038,Q3U5L0,Q3V3M1"
NFE2L2,nuclear factor (erythroid-derived 2)-like 2,4780,83619,18024,NRF2,yes,15728556,"Q16236,E9PGJ7,B4E338",O54968,Q60795
NFE2L3,nuclear factor (erythroid-derived 2)-like 3,9603,312331,18025,NRF3,yes,"10037736, 15385560",Q9Y4A8,D4A7S7,"Q9WTM4,Q3UZC1"
NFIA,nuclear factor I/A,4774,25492,18027,CTF|NF-I/A|NF1-A|NFI-A|NFI-L,yes,"16169882, 17010934","B4DRJ3,B4DS53,Q12857,F5H0R0,F8W8W3",P09414,"Q02780,Q3UTK6,Q05B39,B1AUB7"
NFIB,nuclear factor I/B,4781,29227,18028,CTF|HMGIC/NFIB|NF-I/B|NF1-B|NFI-B|NFI-RED|NFIB2|NFIB3,yes,19540848,"H7BYE8,Q5VW29,O00712,Q5VW28,Q6ZNF9",O70186,"P97863,Q6GSP7"
NFIC,nuclear factor I/C (CCAAT-binding transcription factor),4782,29228,18029,CTF|CTF5|NF-I|NFI,yes,2504497,"B7Z4T6,P08651",O70188,"P70255,Q3UHA6"
NFIL3,"nuclear factor, interleukin 3 regulated",4783,114519,18030,E4BP4|IL3BP1|NF-IL3A|NFIL3A,yes,7565758,Q16649,Q6IMZ0,O08750
NFIX,nuclear factor I/X (CCAAT-binding transcription factor),4784,81524,18032,MRSHSS|NF1A|SOTOS2,yes,"9660824, 9822643","Q14938,B4DHW2","O70190,O70189,F2Z3R4","E9PUH7,Q3TYK3,P70257,Q5CZY4"
